HR,Name,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType
46,,AD Cet,3.6149999999999993,-7.780555555555554,5.12,1.62,"  M3+III"
47,,,3.330833333333333,-84.99416666666666,5.77,1.72,"  M0-1III"
48,"  7    Cet",AE Cet,3.6599999999999997,-18.932777777777776,4.44,1.66,"  M3III"
49,,,3.7337499999999997,22.284166666666664,6.24,-0.01,"  A1pSi"
50," 35    Psc",UU Psc,3.7449999999999997,8.820833333333333,5.79,0.31,"  F0IV"
51,,,3.727083333333333,-9.569722222222222,5.75,-0.08,"  B9V"
52,,,3.7791666666666663,31.53583333333333,6.45,,"  K5"
53,,,3.794166666666666,27.283055555555553,6.35,-0.02,"  A1Vn"
54,,,3.7424999999999997,-34.90444444444444,6.17,1.34,"  K3III"
55,,,4.058333333333333,76.95083333333332,6.35,-0.07,"  B8Vnn"
56,,,4.09,43.59472222222222,6.15,0.05,"  A2VpSi"
57,,,4.0370833333333325,-31.446388888888883,5.67,1.35,"  K5III"
58,,,3.9799999999999995,-75.91138888888888,6.49,1.0,"  G8-K0III"
59," 36    Psc",,4.142083333333333,8.239999999999998,6.11,0.92,"  G8II-III"
60,,,4.237916666666666,61.533333333333324,5.74,0.88,"  G8III"
61,,"  113",4.177083333333333,-20.21055555555555,6.47,-0.09,"  B8III"
62,,,4.287916666666666,47.94749999999999,5.89,-0.09,"  B7III"
63," 24The And","  116",4.272916666666666,38.681666666666665,4.61,0.06,"  A2V"
64,,,4.204166666666666,-78.78055555555555,6.77,0.46,"  F3III"
65,,AO Cas,4.429166666666666,51.43305555555555,6.14,-0.13,"  O9IIInn"
66,,,4.385833333333332,-19.05111111111111,6.45,0.37,"  F4IV-V"
67,,,4.4487499999999995,1.6888888888888887,6.17,0.94,"  K0II"
68," 25Sig And","  118",4.582083333333332,36.78527777777777,4.52,0.05,"  A2V"
69,,,4.571666666666666,11.205833333333333,6.05,1.03,"  K0III"
70," 26    And","  119",4.675416666666666,43.79111111111111,6.11,-0.08,"  B8V"
71,,,4.659583333333333,31.51722222222222,5.87,-0.01,"  A0IV"
72,,,4.674166666666666,-8.052777777777777,6.46,0.68,"  G0V"
73,,,4.677499999999999,-43.235277777777775,6.33,1.21,"  K2III"
74,"  8Iot Cet","  123",4.857083333333333,-8.823888888888888,3.56,1.22,"  K1.5III"
75,,,4.923333333333333,40.729722222222215,6.33,1.18,"  K1III"
76,,,5.021666666666666,48.86527777777777,6.52,,"  A0V s"
77,"   Zet Tuc",,5.017916666666666,-64.87472222222222,4.23,0.58,"  F9V"
78,,"  128",5.101666666666666,30.935833333333328,5.9,-0.1,"  B7V"
79,,,5.189583333333332,32.91138888888889,5.79,1.59,"  K5III"
80," 41    Psc","  132",5.149583333333332,8.190277777777776,5.37,1.34," gK3"
81,,,5.227083333333333,10.976944444444444,6.56,,"  A0V"
82," 27Rho And",,5.280416666666666,37.96861111111111,5.18,0.42,"  F5III"
83,"   Pi  Tuc",,5.1625,-69.62499999999999,5.51,-0.05,"  B9V"
84,"   Iot Scl",,5.379999999999999,-28.981666666666662,5.18,1.0,"  G5III"
85,,T Cet,5.442916666666666,-20.057777777777776,5.12,1.82,"  M5IIe"
86," 42    Psc",,5.606249999999999,13.482499999999998,6.23,1.22,"  K3III"
87,,,5.369166666666666,-77.42694444444443,5.97,1.4,"  K3III"
88,"  9    Cet",BE Cet,5.715833333333332,-12.209444444444443,6.39,0.66,"  G2V"
89,,,5.802499999999999,-31.036111111111108,6.55,0.0,"  B9IVMn"
90,,R And,6.008333333333333,38.57722222222222,7.39,1.97,"  S6.5IIIeZr6Ti2"
91,,"  155",6.0649999999999995,52.019999999999996,5.57,-0.12,"  B5IV"
92," NOVA 1572",B Cas,,,,,
93," 12    Cas",,6.197916666666666,61.831111111111106,5.4,0.0,"  B9III"
94,,,6.123749999999999,-2.2191666666666663,6.07,1.22,"  K1III"
